timestamp,position_x,position_y,theta_rad
15.900000,3.387116,3.676527,-0.448128
16.000000,3.260528,3.900888,-0.457946
16.100000,3.132785,4.131037,-0.467691
16.200000,3.004018,4.366671,-0.477334
16.300000,2.874457,4.607474,-0.486842
16.400000,2.744331,4.853112,-0.496184
16.500000,2.613876,5.103239,-0.505327
16.600000,2.483325,5.357492,-0.514238
16.700000,2.352912,5.615504,-0.522883
16.800000,2.222878,5.876899,-0.531229
16.900000,2.093466,6.141295,-0.539243
17.000000,1.964923,6.408303,-0.546890
17.100000,1.837497,6.677531,-0.554134
17.200000,1.711438,6.948574,-0.560943
17.300000,1.587002,7.221021,-0.567287
17.400000,1.464455,7.494451,-0.573136
17.500000,1.344078,7.768434,-0.578461
17.600000,1.226150,8.042533,-0.583232
17.700000,1.110955,8.316298,-0.587422
17.800000,0.998782,8.589255,-0.591009
17.900000,0.889926,8.860904,-0.593976
18.000000,0.784687,9.130722,-0.596297
18.100000,0.683363,9.398157,-0.597945
18.200000,0.586259,9.662635,-0.598894
18.300000,0.493683,9.923555,-0.599119
18.400000,0.405949,10.180292,-0.598692
18.500000,0.323386,10.432194,-0.597686
18.600000,0.246328,10.678580,-0.596163
18.700000,0.175116,10.918731,-0.594220
18.800000,0.110098,11.152003,-0.591993
18.900000,0.051624,11.377726,-0.589578
19.000000,0.000049,11.595204,-0.587042
19.100000,-0.044199,11.803714,-0.584439
19.200000,-0.080928,12.002497,-0.581804
19.300000,-0.109968,12.190772,-0.579165
19.400000,-0.131172,12.367746,-0.576535
19.500000,-0.144410,12.532616,-0.573919
19.600000,-0.149572,12.684570,-0.571317
19.700000,-0.146563,12.822784,-0.568728
19.800000,-0.135306,12.946440,-0.566144
19.900000,-0.115742,13.054737,-0.563560
